business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Jatte dudh dairy & milk agency,Dairy and Milk Parlour,Dairy store,Dairy store,444304,N/A,N/A,4.2,,"At post, Dhad, Maharashtra 443106",444304,20.3976352,75.9979051,ChIJxf-t2foj2jsR7AT_NLt-ayE,https://www.google.com/maps/place/?q=place_id:ChIJxf-t2foj2jsR7AT_NLt-ayE,part_075,2026-09-19 05:53:00,1
Ramkrushna Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,444304,+91 86689 89585,N/A,5.0,,"Post office Road, Ekta Nagar, Sai Nagar, Buldhana, Maharashtra 443001","Ekta Nagar, Sai Nagar",20.5229546,76.1823873,ChIJkcrfaAAd2jsRvkK3XD1p5o4,https://www.google.com/maps/place/?q=place_id:ChIJkcrfaAAd2jsRvkK3XD1p5o4,part_075,2026-09-19 05:53:00,2
Vrundavan dairy,Dairy and Milk Parlour,Dairy store,Dairy store,444304,N/A,N/A,4.1,,"Old, town, Ganesh Nagar, Buldhana, Maharashtra 443001",Ganesh Nagar,20.537607299999998,76.1793805,ChIJr1GfU_v32TsRNt-0KckQVQc,https://www.google.com/maps/place/?q=place_id:ChIJr1GfU_v32TsRNt-0KckQVQc,part_075,2026-09-19 05:53:00,3
Ramkrushna Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,444304,N/A,N/A,5.0,,"Post office road, Ekta Nagar, Sai Nagar, Sagwan, Maharashtra 443001","Ekta Nagar, Sai Nagar",20.521846099999998,76.180577,ChIJvfgV6-cd2jsRhi5hJQm6vck,https://www.google.com/maps/place/?q=place_id:ChIJvfgV6-cd2jsRhi5hJQm6vck,part_075,2026-09-19 05:53:00,4
Samruddhi dairy,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,444304,+91 95527 77720,N/A,5.0,,"Pimpalgaon raja peth pura kamtha chauk, Pimpalgaon Raja, Maharashtra 444306",444304,20.721070299999997,76.4353046,ChIJRdvgCE392TsRuL8pNdkWRWw,https://www.google.com/maps/place/?q=place_id:ChIJRdvgCE392TsRuL8pNdkWRWw,part_075,2026-09-19 05:53:00,5
Paraskar dairy farm,Dairy and Milk Parlour,Dairy farm,Dairy farm,444304,N/A,N/A,5.0,,"WGWG+3CF, Takali Paraskar, Maharashtra 443402",444304,20.9451765,76.526062,ChIJbcqIe1Nh1zsRnDr_Mf9C4eA,https://www.google.com/maps/place/?q=place_id:ChIJbcqIe1Nh1zsRnDr_Mf9C4eA,part_075,2026-09-19 05:53:00,6
Rajmata Dairy and agro farm,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,444304,+91 88620 18787,N/A,5.0,,"Jalna - Mehkar Rd, Sindkhed Raja, Maharashtra 443203",444304,19.9529075,76.1094526,ChIJsVt1IEpn2jsRegf6REreDlk,https://www.google.com/maps/place/?q=place_id:ChIJsVt1IEpn2jsRegf6REreDlk,part_075,2026-09-19 05:53:00,7
Jay bhole dhood dairy fram,Dairy and Milk Parlour,Dairy farm,Dairy farm,444304,N/A,N/A,5.0,,"5H5P+GGQ, Rana Rd, Teachers Colony, Mehkar, Maharashtra 443301",Teachers Colony,20.158825699999998,76.5863696,ChIJ48OzfwCZ0DsRttiFelFK49A,https://www.google.com/maps/place/?q=place_id:ChIJ48OzfwCZ0DsRttiFelFK49A,part_075,2026-09-19 05:53:00,8
MAULI DAIRY AND DAILY NEEDS,Dairy and Milk Parlour,Dairy store,"Dairy store, Shopping mall",444304,+91 78751 81367,N/A,3.7,,"Shop No, 1, Chikhali Rd, near Sosayti Petrol Ppump, opp. Shabanam Aparment, Milind Nagar, Sundar khed, Maharashtra 443001",Milind Nagar,20.5228376,76.19046519999999,ChIJmYBhMZ8d2jsRyXNvvT6WWK4,https://www.google.com/maps/place/?q=place_id:ChIJmYBhMZ8d2jsRyXNvvT6WWK4,part_075,2026-09-19 05:53:00,9
Bhumiputra dudh sankalan kendra,Dairy and Milk Parlour,Dairy,Dairy,444304,N/A,N/A,5.0,,"near Bus Stop, Pimpalgaon Sarai, Maharashtra 443002",444304,20.3756004,76.1091434,ChIJk84N_ZQZ2jsRn3OaHROJFX8,https://www.google.com/maps/place/?q=place_id:ChIJk84N_ZQZ2jsRn3OaHROJFX8,part_075,2026-09-19 05:53:00,10
Somaj Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,444304,N/A,N/A,5.0,,"Daund Siddhitek Road, 28 Phata, Virobawadi, Maharashtra 412219",444304,18.4508317,74.49666739999999,ChIJOZlGpd0XwzsRgsb0RkgykSk,https://www.google.com/maps/place/?q=place_id:ChIJOZlGpd0XwzsRgsb0RkgykSk,part_075,2026-09-19 05:53:01,11
Sahyadri Dudh sankalan Kendra,Dairy and Milk Parlour,Dairy,Dairy,444304,N/A,N/A,4.7,,"Pargaon, Maharashtra 412211",444304,18.560073499999998,74.3733092,ChIJI24CcQAjwzsRebh3iuxaCMI,https://www.google.com/maps/place/?q=place_id:ChIJI24CcQAjwzsRebh3iuxaCMI,part_075,2026-09-19 05:53:01,12
