business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mahesh Kiran Store,Departmental Store,Grocery store,Grocery store,471318,N/A,N/A,4.1,,"Surajpura Road, Madhya Pradesh 471311",471318,24.4438468,79.2720806,ChIJF5h9GF2HeDkRkacMirdrAV0,https://www.google.com/maps/place/?q=place_id:ChIJF5h9GF2HeDkRkacMirdrAV0,part_080,2026-09-19 05:52:58,1
Kirana store,Departmental Store,Fire department equipment supplier,Fire department equipment supplier,471318,+91 90980 01533,N/A,,,"College mohalla, Kanpur - Sagar Hwy, Chhatarpur, Khairwaha, Madhya Pradesh 471313",471318,24.3993242,79.237712,ChIJSx-Xg1OFeDkRyMp86jIuhyA,https://www.google.com/maps/place/?q=place_id:ChIJSx-Xg1OFeDkRyMp86jIuhyA,part_080,2026-09-19 05:52:58,2
Rahul Sahu Atta Chakki,Departmental Store,Grocery store,Grocery store,471318,N/A,N/A,3.6,,"Buxwaha, Madhya Pradesh 471318",471318,24.253729999999997,79.29050289999999,ChIJ6dysJgiceDkRBr8PRzy2Ipw,https://www.google.com/maps/place/?q=place_id:ChIJ6dysJgiceDkRBr8PRzy2Ipw,part_080,2026-09-19 05:52:58,3
Prayansh Jain,Departmental Store,Grocery store,Grocery store,471318,+91 90748 94017,N/A,5.0,,"Bus Stand, Buxwaha, Madhya Pradesh 471318",471318,24.250214699999997,79.2846799,ChIJs3DkIlCbeDkR4mvMbxcKmMg,https://www.google.com/maps/place/?q=place_id:ChIJs3DkIlCbeDkR4mvMbxcKmMg,part_080,2026-09-19 05:52:58,4
Hari Ram Rai,Departmental Store,Grocery store,Grocery store,471318,+91 87178 11406,N/A,4.0,,"Ward No.05, Tanki Pass, Bajna Road, Darguwa, Madhya Pradesh 471311",471318,24.4355813,79.2966603,ChIJIzxqQu2BeDkR4a1zEq9rgzY,https://www.google.com/maps/place/?q=place_id:ChIJIzxqQu2BeDkR4a1zEq9rgzY,part_080,2026-09-19 05:52:58,5
Jujhapura,Departmental Store,Grocery store,Grocery store,471318,N/A,N/A,3.8,,"68C6+XFP, NH 34, Jujharpura, Madhya Pradesh 471318",471318,24.2224735,79.3112087,ChIJXdL37OyfeDkRkhQnnVz8zc0,https://www.google.com/maps/place/?q=place_id:ChIJXdL37OyfeDkRkhQnnVz8zc0,part_080,2026-09-19 05:52:58,6
रायपुर,Departmental Store,Grocery store,Grocery store,471318,N/A,N/A,,,"56JJ+3CJ, Nipaniya, Madhya Pradesh 470339",471318,24.1802124,79.2310172,ChIJe1fRTACZeDkRur8Gyky-Cbo,https://www.google.com/maps/place/?q=place_id:ChIJe1fRTACZeDkRur8Gyky-Cbo,part_080,2026-09-19 05:52:58,7
Madesh singad ji,Departmental Store,Grocery store,Grocery store,471318,N/A,N/A,,,"7CF2+P2M, Furtal Ryt, Madhya Pradesh 471318",471318,24.275015999999997,79.401825,ChIJ-YkHGAB3gjkRGO0La_cSMXc,https://www.google.com/maps/place/?q=place_id:ChIJ-YkHGAB3gjkRGO0La_cSMXc,part_080,2026-09-19 05:52:58,8
V-Bazaar - Chhatarpur,Departmental Store,Shopping mall,Shopping mall,471318,N/A,http://www.v-bazaar.com/,3.8,,"34, National Highway, Naya Mohalla, Chhatarpur, Madhya Pradesh 471001",Naya Mohalla,24.9185894,79.5840963,ChIJY37B_Nm9gjkRRSM-b2Yvo2w,https://www.google.com/maps/place/?q=place_id:ChIJY37B_Nm9gjkRRSM-b2Yvo2w,part_080,2026-09-19 05:52:58,9
Jockey Exclusive Store,Departmental Store,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Lingerie store, Men's clothing store, Sportswear store, Underwear store, Women's clothing store",471318,+91 76823 55472,https://stores.jockey.in/jockey-exclusive-store-shanti-nagar-chhatarpur-12714/home,4.8,,"Chouhan Building, New Colony Panna Khajurao, Road, near IDBI Bank, Shanti Nagar, Chhatarpur, Madhya Pradesh 471001",Shanti Nagar,24.903667,79.585917,ChIJC0oM7hiXgjkRMJgVorNKdPA,https://www.google.com/maps/place/?q=place_id:ChIJC0oM7hiXgjkRMJgVorNKdPA,part_080,2026-09-19 05:52:58,10
Lala kirana,Departmental Store,Indian grocery store,Indian grocery store,471318,+91 91747 30203,N/A,5.0,,"near by coperative bank, Khaderi, Madhya Pradesh 470673",471318,24.0456535,79.2581781,ChIJJWawS0-leDkR-JOXXj7Bo7U,https://www.google.com/maps/place/?q=place_id:ChIJJWawS0-leDkR-JOXXj7Bo7U,part_080,2026-09-19 05:52:58,11
