business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Haat-wala Baazar(Budhwariya Haat),Departmental Store,Grocery store,Grocery store,465118,+91 97130 26553,N/A,4.1,32.0,"6PVV+QVQ, Haat Wala Bazar Rd, Arniya Kalan, Madhya Pradesh 465118",465118,23.2444609,76.7447371,ChIJVVVVxde-fDkR5jvwk2UdyiE,https://www.google.com/maps/place/?q=place_id:ChIJVVVVxde-fDkR5jvwk2UdyiE,part_079,2026-09-19 08:46:41,1
Patanjali Gramin Arogya Kendra,Departmental Store,Department store,Department store,465118,+91 91652 47148,https://patanjalistores.patanjaliayurved.org/patanjali-gramin-arogya-kendra-indian-grocery-store-arniya-kalan-shujalpur-268731/Home?utm_source=locator&utm_medium=googleplaces,4.0,17.0,"House No 1463, near Bus Stand, Indira Awash Colony, Arniya Kalan, Shujalpur, Madhya Pradesh 465118",Indira Awash Colony,23.243474499999998,76.7397616,ChIJffqWncu_fDkRf4jdaWBqqj0,https://www.google.com/maps/place/?q=place_id:ChIJffqWncu_fDkRf4jdaWBqqj0,part_079,2026-09-19 08:46:41,2
राहुल किराना स्टोर,Departmental Store,Grocery store,Grocery store,465118,N/A,N/A,5.0,2.0,"4HWQ+CC6, Amsyakhedi road, Awantipur Badodia, Madhya Pradesh 465118",465118,23.146028299999998,76.5885156,ChIJ1VOi0fvJfDkRe7JGXf-JRb0,https://www.google.com/maps/place/?q=place_id:ChIJ1VOi0fvJfDkRe7JGXf-JRb0,part_079,2026-09-19 08:46:41,3
Santosh Traders,Departmental Store,Indian grocery store,Indian grocery store,465118,+91 98266 25374,N/A,5.0,2.0,"Bus stand, Indira Awash Colony, Arniya Kalan, Madhya Pradesh 465118",Indira Awash Colony,23.2429444,76.7397768,ChIJf3eH9Cm_fDkRioLb1HsMUo0,https://www.google.com/maps/place/?q=place_id:ChIJf3eH9Cm_fDkRioLb1HsMUo0,part_079,2026-09-19 08:46:41,4
लब्बैक किराना & कोल्ड्रिंक्स,Departmental Store,Grocery store,Grocery store,465118,N/A,N/A,5.0,2.0,"Banjari, Madhya Pradesh 465116",465118,23.2202706,76.61232179999999,ChIJnyGaX7u3fDkRAP_YM6g5vcI,https://www.google.com/maps/place/?q=place_id:ChIJnyGaX7u3fDkRAP_YM6g5vcI,part_079,2026-09-19 08:46:41,5
Shaurya kirana store,Departmental Store,Grocery store,Grocery store,465118,+91 98265 77333,N/A,,,"4HVQ+4C8, Awantipur Badodia, Madhya Pradesh 465118",465118,23.1427931,76.5885663,ChIJe7iOSPnJfDkRWMuzXxOJhdE,https://www.google.com/maps/place/?q=place_id:ChIJe7iOSPnJfDkRWMuzXxOJhdE,part_079,2026-09-19 08:46:41,6
बालाजी हेयर सैलून,Departmental Store,Supermarket,Supermarket,465118,+91 99779 78062,N/A,3.0,3.0,"6P52+GCM, Tilawad Main Rd, Tilawad, Madhya Pradesh 465118",465118,23.20884,76.70105629999999,ChIJuUQZ7Ei5fDkR9gHr_CZSGq0,https://www.google.com/maps/place/?q=place_id:ChIJuUQZ7Ei5fDkR9gHr_CZSGq0,part_079,2026-09-19 08:46:41,7
Shree syham kirana,Departmental Store,Grocery store,Grocery store,465118,N/A,N/A,,,"6P2R+9WG, Alisariya, Harraj Kheda, Madhya Pradesh 465118",465118,23.2009473,76.7423422,ChIJFQJQRAC_fDkRNuzVqmBJius,https://www.google.com/maps/place/?q=place_id:ChIJFQJQRAC_fDkRNuzVqmBJius,part_079,2026-09-19 08:46:41,8
Madhvi Grocery & General Store,Departmental Store,Indian grocery store,Indian grocery store,465118,+91 83196 81428,N/A,5.0,,"MP SH 41, Ali Ganj, Alipur, Ashta, Madhya Pradesh 466116","Ali Ganj, Alipur",23.028156199999998,76.7156863,ChIJiW3Gmr7EfDkRKoq2kygXocA,https://www.google.com/maps/place/?q=place_id:ChIJiW3Gmr7EfDkRKoq2kygXocA,part_079,2026-09-19 08:46:42,9
"Maa gaytri kirana store, (Shankarlal munimji)Akodia main road Hadlay kalan",Departmental Store,Indian grocery store,"Indian grocery store, Store",465118,+91 73543 42084,N/A,5.0,,"Akodia Main road, Hadlay Kalan, Madhya Pradesh 465223",465118,23.307112699999998,76.6228125,ChIJ8x-KGBixfDkR21GZ_MZzDSs,https://www.google.com/maps/place/?q=place_id:ChIJ8x-KGBixfDkR21GZ_MZzDSs,part_079,2026-09-19 08:46:42,10
