business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SWARGANIC INDIA ( firm name -Jaivik aahar & products),Organic Food Store,Organic food store,Organic food store,455440,+91 75097 07073,N/A,5.0,,"Plot no. 460, Infront of daga palace, near Kaila devi mandir, Mishri Nagar, Mishrilal Nagar, Ganga Nagar, Dewas, Madhya Pradesh 455001","Mishri Nagar, Mishrilal Nagar, Ganga Nagar",22.9569847,76.0362062,ChIJVXRQb8kXYzkRl43E-WZs3YY,https://www.google.com/maps/place/?q=place_id:ChIJVXRQb8kXYzkRl43E-WZs3YY,part_077,2026-09-19 08:46:44,1
JSM Oil Extraction,Organic Food Store,Organic food store,"Organic food store, Oil refinery, Olive oil manufacturer, Store, Wholesaler",455440,+91 78794 16471,N/A,,,"House no. 704, Punjapura, Teh. Bagli, Road, near Panchayat Bhawan, Chandupura, Punjapura, Madhya Pradesh 455227",455440,22.543727,76.3724257,ChIJ5VvdP5PNYjkRx60DDFztr90,https://www.google.com/maps/place/?q=place_id:ChIJ5VvdP5PNYjkRx60DDFztr90,part_077,2026-09-19 08:46:44,2
Snehjeev Farm Fresh,Organic Food Store,Organic food store,Organic food store,455440,+91 87200 31000,N/A,4.6,,"20/2 Tigaria Rao, Kanadia, Link Road, Bicholi Hapsi, Indore, Madhya Pradesh 452016",Bicholi Hapsi,22.722865,75.9401778,ChIJXzh-d8TjYjkRgRh2JMvB-cI,https://www.google.com/maps/place/?q=place_id:ChIJXzh-d8TjYjkRgRh2JMvB-cI,part_077,2026-09-19 08:46:44,3
Gurukripa Kirana Store,Organic Food Store,Indian grocery store,Indian grocery store,455440,+91 73893 09652,https://kriteshsahu.wordpress.com/,4.1,,"Nagar Nigam Colony, Dewas, Madhya Pradesh 455001",Nagar Nigam Colony,22.9746032,76.0448945,ChIJK7jp9aEXYzkRVBlHVvurNFM,https://www.google.com/maps/place/?q=place_id:ChIJK7jp9aEXYzkRVBlHVvurNFM,part_077,2026-09-19 08:46:44,4
Vardhman Provision,Organic Food Store,Grocery store,Grocery store,455440,+91 86026 70090,https://vardhmanprovision.orderhere.io/,4.0,,"171, Anil shree Nagar, Bihaind, Ganga Nagar, Dewas, Madhya Pradesh 455001","Anil shree Nagar, Bihaind, Ganga Nagar",22.9570398,76.03155269999999,ChIJYdhF7kn9YjkRKy4qAm0J7X8,https://www.google.com/maps/place/?q=place_id:ChIJYdhF7kn9YjkRKy4qAm0J7X8,part_077,2026-09-19 08:46:44,5
Bagdi Pan Bhandar,Organic Food Store,Grocery store,Grocery store,455440,N/A,N/A,4.0,,"G9WC+6GM, Main Road, Punjapura, Madhya Pradesh 455227",455440,22.5455774,76.37128129999999,ChIJQ9HHXSzNYjkRg3B12kiE_Ts,https://www.google.com/maps/place/?q=place_id:ChIJQ9HHXSzNYjkRg3B12kiE_Ts,part_077,2026-09-19 08:46:44,6
rahul gurjar shop n save,Organic Food Store,Grocery store,Grocery store,455440,N/A,N/A,3.8,,"P84C+9PJ, bagli road chapda, Dewas Udainagar Rd, Chapda, Madhya Pradesh 455227",455440,22.7059613,76.32177159999999,ChIJdzp0YNfWYjkRxVkF7SKJlCk,https://www.google.com/maps/place/?q=place_id:ChIJdzp0YNfWYjkRxVkF7SKJlCk,part_077,2026-09-19 08:46:44,7
Rajlakshmi Javiks International,Organic Food Store,Organic shop,Organic shop,455440,+91 87692 15905,https://www.rajlakshmijaviks.com/,4.9,176.0,"11, Manish Bag Colony Rd, Durga Nagar, Manish Baag Colony, Old Agarwal Nagar, Indore, Madhya Pradesh 452001","Durga Nagar, Manish Baag Colony, Old Agarwal Nagar",22.7001967,75.8706928,ChIJAVe8L3f9YjkRHO_4wiBUVGY,https://www.google.com/maps/place/?q=place_id:ChIJAVe8L3f9YjkRHO_4wiBUVGY,part_077,2026-09-19 08:46:44,8
Orgakawach Organic - Organic Food Store in Pune,Organic Food Store,Organic food store,Organic food store,455440,+91 99220 30762,http://www.orgakawach.com/,4.9,78.0,"Shivprasad Complex, Shop No- 5, B Wing, Sun City Rd, Anand Nagar, Pune, Maharashtra 411051","Nimbaj Nagar, Anand Nagar",18.4779905,73.8202309,ChIJIy4gul-VwjsRCrNGEqDFOyU,https://www.google.com/maps/place/?q=place_id:ChIJIy4gul-VwjsRCrNGEqDFOyU,part_077,2026-09-19 08:46:46,9
Jainatva wood pressed oil,Organic Food Store,Organic shop,"Organic shop, Store, Wholesaler",455440,+91 95797 12345,https://jainatva.com/,4.9,61.0,"113, main road, Janta Colony, Malharganj, Indore, Madhya Pradesh 452002","Janta Colony, Malharganj",22.7195947,75.8458939,ChIJmbpnjsH9YjkR9d54nG5W6nk,https://www.google.com/maps/place/?q=place_id:ChIJmbpnjsH9YjkR9d54nG5W6nk,part_077,2026-09-19 08:46:46,10
Jaivik Setu,Organic Food Store,Natural goods store,Natural goods store,455440,+91 88893 33312,http://www.jaiviksetu.com/,4.3,879.0,"66, Bicholi Mardana Rd, opposite Rajshahi Resort, Pragati Vihar, Indore, Madhya Pradesh 452016",Pragati Vihar,22.701351199999998,75.9299362,ChIJvzfbGRzjYjkRm-rWYygrpLg,https://www.google.com/maps/place/?q=place_id:ChIJvzfbGRzjYjkRm-rWYygrpLg,part_077,2026-09-19 08:46:46,11
