business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
varun dairy and sweets,Dairy and Milk Parlour,Dairy store,"Dairy store, Dairy",460665,+91 88394 05903,N/A,4.0,,"Link Rd, Bhacha Jail Chowk, Rojhada, Betul, Madhya Pradesh 460001",Rojhada,21.9102463,77.8925836,ChIJ1Ynt3KIJ1jsR0Syp90gn3rg,https://www.google.com/maps/place/?q=place_id:ChIJ1Ynt3KIJ1jsR0Syp90gn3rg,part_078,2026-09-19 08:46:40,1
Brij Dairy,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,460665,N/A,N/A,4.2,,"Kosmi, Madhya Pradesh 460001",460665,21.900921699999998,77.88158349999999,ChIJs7j8CHYJ1jsRKFTuhu27EUo,https://www.google.com/maps/place/?q=place_id:ChIJs7j8CHYJ1jsRKFTuhu27EUo,part_078,2026-09-19 08:46:40,2
Verma Dairy,Dairy and Milk Parlour,Dairy,Dairy,460665,N/A,N/A,5.0,,"WV6R+FR4, Kothi Bazar, Betul, Madhya Pradesh 460001",Kothi Bazar,21.9111427,77.89206329999999,ChIJzwNhSjEJ1jsRJjvmKqblVfg,https://www.google.com/maps/place/?q=place_id:ChIJzwNhSjEJ1jsRJjvmKqblVfg,part_078,2026-09-19 08:46:40,3
Shivam dairy,Dairy and Milk Parlour,Bakery and Cake Shop,Bakery and Cake Shop,460665,N/A,N/A,,,"WW73+9HX, Kothi Bazar, Betul, Madhya Pradesh 460001",Kothi Bazar,21.9134814,77.9039785,ChIJrWguSwAJ1jsRWHdY5haorKc,https://www.google.com/maps/place/?q=place_id:ChIJrWguSwAJ1jsRWHdY5haorKc,part_078,2026-09-19 08:46:40,4
The Best Dairy,Dairy and Milk Parlour,Farm,Farm,460665,N/A,N/A,5.0,,"MW4C+65, Pingli, Haryana 132036",460665,29.655503,76.920476,ChIJ9YOqTgBxDjkR2IsAnlN-LDE,https://www.google.com/maps/place/?q=place_id:ChIJ9YOqTgBxDjkR2IsAnlN-LDE,part_078,2026-09-19 08:46:40,5
Vasundhra Javik Products And Dairy Farm Multai,Dairy and Milk Parlour,Dairy,Dairy,460665,N/A,N/A,5.0,,"Q7F2+68H, Multai, Madhya Pradesh 460661",460665,21.7730547,78.250855,ChIJCaU3UVTA1TsR5qROk78dQbc,https://www.google.com/maps/place/?q=place_id:ChIJCaU3UVTA1TsR5qROk78dQbc,part_078,2026-09-19 08:46:40,6
Milk Parlour,Dairy and Milk Parlour,Dessert shop,Dessert shop,460665,N/A,N/A,4.0,,"Pipariya, Madhya Pradesh 482010",460665,23.2429126,79.97084319999999,ChIJn3T9y3uvgTkRO7IXNWRhxzc,https://www.google.com/maps/place/?q=place_id:ChIJn3T9y3uvgTkRO7IXNWRhxzc,part_078,2026-09-19 08:46:40,7
Om Dairy,Dairy and Milk Parlour,Dairy store,Dairy store,460665,+91 98276 42462,N/A,4.5,42.0,"Shop No 5, Infront of 1, Gufa Mandir Rd, Jain Nagar, Nayapura, Lalghati, Bhopal, Madhya Pradesh 462030","Jain Nagar, Nayapura, Lalghati",23.277794399999998,77.37303519999999,ChIJ7-G8zN1nfDkRustb43rPMAU,https://www.google.com/maps/place/?q=place_id:ChIJ7-G8zN1nfDkRustb43rPMAU,part_078,2026-09-19 08:46:41,8
Aditya bakery and sweets,Dairy and Milk Parlour,Bakery and Cake Shop,"Bakery and Cake Shop, Sweet shop",460665,+91 89899 29499,N/A,4.0,275.0,"Link Rd, Betul, Madhya Pradesh 460001",460665,21.905718,77.8943216,ChIJQQaKhZcJ1jsRqVhv8KUaWnc,https://www.google.com/maps/place/?q=place_id:ChIJQQaKhZcJ1jsRqVhv8KUaWnc,part_078,2026-09-19 08:46:41,9
Rukmani Daily Needs,Dairy and Milk Parlour,Bakery and Cake Shop,Bakery and Cake Shop,460665,+91 99930 68833,N/A,4.1,69.0,"Chakkar Rd, New Shivaji Nagar, Betul, Madhya Pradesh 460001",New Shivaji Nagar,21.9197395,77.89817699999999,ChIJobx0RH4J1jsR7YB8RFrzy4g,https://www.google.com/maps/place/?q=place_id:ChIJobx0RH4J1jsR7YB8RFrzy4g,part_078,2026-09-19 08:46:41,10
